stateid,state_2001,dist01_census2001,district_2001_name,state_2026,current_districts_2026,reorg_events,status,notes,distid_ihds_internal_DO_NOT_JOIN_ON_THIS,distname_code_legacy
22,Chhattisgarh,7.0,Bilas Pur,Chhattisgarh,Bilaspur; part of Gaurela-Pendra-Marwahi (2020),"2020 district creation -- Gaurela-Pendra-Marwahi confirmed carved from Bilaspur (announced 15 Aug 2019, inaugurated 10 Feb 2020)",CONFIRMED,"Verified this round via Wikipedia + district government site, single clean parent district",7,2207.0
22,Chhattisgarh,8.0,Kawardha,Chhattisgarh,Kabirdham (Kawardha),No 2022 split confirmed for this district specifically -- the earlier attribution of Khairagarh-Chhuikhadan-Gandai to Kawardha was not well-supported; Rajnandgaon appears the more likely parent (see that row),PROVISIONAL - needs verification,Corrected this round: the earlier guess attributing Khairagarh-Chhuikhadan-Gandai to Kawardha was not well-supported by sourcing found this round -- moved that attribution to Rajnandgaon instead. Recommend a primary-source check (Chhattisgarh gazette notification) before relying on either,8,2208.0
22,Chhattisgarh,9.0,Rajnandgaon,Chhattisgarh,Rajnandgaon; Mohla-Manpur-Ambagarh Chowki; Khairagarh-Chhuikhadan-Gandai (likely primary parent),"2022 district creation(s) -- Mohla-Manpur-Ambagarh Chowki confirmed carved from Rajnandgaon; Khairagarh-Chhuikhadan-Gandai's historical territory (former Khairagarh princely state) was also administered under Rajnandgaon, making it the more likely primary parent rather than Kawardha",PROVISIONAL - needs verification,"Improved this round: Mohla-Manpur-Ambagarh Chowki's parentage from Rajnandgaon is now confirmed directly (CM inauguration coverage). Khairagarh-Chhuikhadan-Gandai's exact parent is still not confirmed from a primary source -- historical administrative lineage points to Rajnandgaon over Kawardha, but treat as a corrected hypothesis, not a confirmed fact",9,2209.0
22,Chhattisgarh,10.0,Durg,Chhattisgarh,Durg; Balod; Bemetara,2012 district creation (both Balod and Bemetara carved from Durg),CONFIRMED,,10,2210.0
22,Chhattisgarh,11.0,Raipur,Chhattisgarh,Raipur; Baloda Bazar; Gariaband,2012 district creation (both Baloda Bazar and Gariaband carved from Raipur),CONFIRMED,,11,2211.0
22,Chhattisgarh,12.0,Mahasamund,Chhattisgarh,Mahasamund,No change identified since 2012 reorganization,CONFIRMED,,12,2212.0
22,Chhattisgarh,13.0,Dhamtari,Chhattisgarh,Dhamtari,No change identified since 2012 reorganization,CONFIRMED,,13,2213.0
22,Chhattisgarh,14.0,Kanker,Chhattisgarh,Kanker,No change identified since 2012 reorganization,CONFIRMED,,14,2214.0
22,Chhattisgarh,15.0,Bastar,Chhattisgarh,Bastar; Kondagaon,2012 district creation (Kondagaon carved from Bastar),CONFIRMED,,15,2215.0
23,Madhya Pradesh,1.0,Sheopur,Madhya Pradesh,Sheopur,No change identified since 2001,CONFIRMED,,1,2301.0
23,Madhya Pradesh,2.0,Morena,Madhya Pradesh,Morena,No change identified since 2001,CONFIRMED,,2,2302.0
23,Madhya Pradesh,4.0,Gwalior,Madhya Pradesh,Gwalior,No change identified since 2001,CONFIRMED,,4,2304.0
23,Madhya Pradesh,5.0,Datia,Madhya Pradesh,Datia,No change identified since 2001,CONFIRMED,,5,2305.0
23,Madhya Pradesh,8.0,Tikamgarh,Madhya Pradesh,Tikamgarh; Niwari,2018 district creation,CONFIRMED,,8,2308.0
23,Madhya Pradesh,9.0,Chhatarpur,Madhya Pradesh,Chhatarpur,No change identified since 2001,CONFIRMED,,9,2309.0
23,Madhya Pradesh,10.0,Panna,Madhya Pradesh,Panna,No change identified since 2001,CONFIRMED,,10,2310.0
23,Madhya Pradesh,12.0,Damoh,Madhya Pradesh,Damoh,No change identified since 2001,CONFIRMED,,12,2312.0
23,Madhya Pradesh,13.0,Satna,Madhya Pradesh,Satna; Maihar,2023 district creation,CONFIRMED,,13,2313.0
23,Madhya Pradesh,15.0,Umaria,Madhya Pradesh,Umaria,No change identified since 2001,CONFIRMED,,15,2315.0
23,Madhya Pradesh,16.0,Shahdol,Madhya Pradesh,Shahdol; Anuppur,2003 district creation,CONFIRMED,,16,2316.0
23,Madhya Pradesh,17.0,Sidhi,Madhya Pradesh,Sidhi; Singrauli,2008 district creation,CONFIRMED,,17,2317.0
23,Madhya Pradesh,20.0,Ratlam,Madhya Pradesh,Ratlam,No change identified since 2001,CONFIRMED,,20,2320.0
23,Madhya Pradesh,21.0,Ujjain,Madhya Pradesh,Ujjain,No change identified since 2001,CONFIRMED,,21,2321.0
23,Madhya Pradesh,22.0,Shajapur,Madhya Pradesh,Shajapur; Agar Malwa,2013 district creation,CONFIRMED,,22,2322.0
23,Madhya Pradesh,23.0,Dewas,Madhya Pradesh,Dewas,No change identified since 2001,CONFIRMED,,23,2323.0
23,Madhya Pradesh,25.0,Dhar,Madhya Pradesh,Dhar,"No change identified since 2001 (Alirajpur 2008 was carved from Jhabua, not Dhar)",CONFIRMED,,25,2325.0
23,Madhya Pradesh,26.0,Indore,Madhya Pradesh,Indore,No change identified since 2001,CONFIRMED,,26,2326.0
23,Madhya Pradesh,27.0,West Nimar (Khargone),Madhya Pradesh,Khargone,"Renamed West Nimar to Khargone (date unverified); Barwani (DISTID=28 in this file) is a genuinely separate district, not a mislabeling of this one",CONFIRMED,"RESOLVED via DIST01 (Census 2001 district code): DIST01=27 confirms this is West Nimar/Khargone, distinct from DIST01=28 (Barwani). The earlier DISTID-level anomaly was in IHDS's internal batch code, not in the true district identity",27,2327.0
23,Madhya Pradesh,28.0,Barwani,Madhya Pradesh,Barwani,No change identified since 2001,CONFIRMED,"RESOLVED via DIST01=28, confirmed distinct from DISTID=27 (West Nimar/Khargone)",28,2328.0
23,Madhya Pradesh,29.0,East Nimar (Khandwa),Madhya Pradesh,Khandwa; Burhanpur,Renamed East Nimar to Khandwa (date unverified); 2003 district creation split off Burhanpur,PROVISIONAL - needs verification,Rename date to Khandwa not independently verified,29,2329.0
23,Madhya Pradesh,30.0,Rajgarh,Madhya Pradesh,Rajgarh,No change identified since 2001,CONFIRMED,,30,2330.0
23,Madhya Pradesh,32.0,Bhopal,Madhya Pradesh,Bhopal,No change identified since 2001,CONFIRMED,,32,2332.0
23,Madhya Pradesh,35.0,Betul,Madhya Pradesh,Betul,No change identified since 2001,CONFIRMED,,35,2335.0
23,Madhya Pradesh,36.0,Harda,Madhya Pradesh,Harda,No change identified since 2001,CONFIRMED,,36,2336.0
23,Madhya Pradesh,37.0,Hoshangabad,Madhya Pradesh,Narmadapuram,"Renamed from Hoshangabad to Narmadapuram, effective 7 February 2022 (Centre approved MP government proposal Feb 2022); boundary unchanged",CONFIRMED,Verified this round: exact rename date confirmed via multiple contemporaneous news sources,37,2337.0
23,Madhya Pradesh,38.0,Katni,Madhya Pradesh,Katni,No change identified since 2001,CONFIRMED,,38,2338.0
23,Madhya Pradesh,39.0,Jabalpur,Madhya Pradesh,Jabalpur,No change identified since 2001,CONFIRMED,,39,2339.0
23,Madhya Pradesh,41.0,Dindori,Madhya Pradesh,Dindori,No change identified since 2001,CONFIRMED,,41,2341.0
23,Madhya Pradesh,42.0,Mandla,Madhya Pradesh,Mandla,No change identified since 2001,CONFIRMED,,42,2342.0
23,Madhya Pradesh,44.0,Seoni,Madhya Pradesh,Seoni,"No change identified since 2001 (Pandhurna 2023 was carved from Chhindwara, not Seoni)",CONFIRMED,,44,2344.0
24,Gujarat,1.0,Kachchh,Gujarat,Kutch (Kachchh),No change identified since 2001,CONFIRMED,,1,2401.0
24,Gujarat,3.0,Patan,Gujarat,Patan,No change since 2000 (already split pre-dating both IHDS waves),CONFIRMED,,3,2403.0
24,Gujarat,4.0,Mahesana,Gujarat,Mehsana,No change identified since 2001,CONFIRMED,,4,2404.0
24,Gujarat,6.0,Gandhinagar,Gujarat,Gandhinagar,No change identified since 2001,CONFIRMED,"RESOLVED via DIST01 (Census 2001 code)=6, distinct from DIST01=7 (Ahmedabad); both previously shared IHDS's internal DISTID=7 batch code",6,2406.0
24,Gujarat,7.0,Ahmedabad,Gujarat,Ahmedabad; part of Botad (2013),2013 district creation (Botad carved from Ahmedabad and Bhavnagar),CONFIRMED,"RESOLVED via DIST01=7, distinct from DIST01=6 (Gandhinagar)",7,2407.0
24,Gujarat,8.0,Surendranagar,Gujarat,Surendranagar; part of Morbi (2013),2013 district creation (Morbi carved from Rajkot and Surendranagar),PROVISIONAL - needs verification,Exact territorial share not confirmed,8,2408.0
24,Gujarat,9.0,Rajkot,Gujarat,Rajkot; part of Morbi (2013),2013 district creation (Morbi carved from Rajkot and Surendranagar),PROVISIONAL - needs verification,Exact territorial share not confirmed,9,2409.0
24,Gujarat,10.0,Jamnagar,Gujarat,Jamnagar; Devbhoomi Dwarka,2013 district creation (Devbhoomi Dwarka carved from Jamnagar),CONFIRMED,,10,2410.0
24,Gujarat,12.0,Junagadh,Gujarat,Junagadh; Gir Somnath,2013 district creation (Gir Somnath carved from Junagadh),CONFIRMED,,12,2412.0
24,Gujarat,13.0,Amreli,Gujarat,Amreli,No change identified since 2001,CONFIRMED,,13,2413.0
24,Gujarat,14.0,Bhavnagar,Gujarat,Bhavnagar; part of Botad (2013),2013 district creation (Botad carved from Ahmedabad and Bhavnagar),PROVISIONAL - needs verification,Exact territorial share not confirmed,14,2414.0
24,Gujarat,15.0,Anand,Gujarat,Anand,No change identified since 2001 (already split from Kheda pre-2001),CONFIRMED,"RESOLVED via DIST01=15, distinct from DIST01=16 (Kheda)",15,2415.0
24,Gujarat,16.0,Kheda,Gujarat,Kheda; part of Mahisagar (2013),2013 district creation (Mahisagar carved from Kheda and Panchmahal),CONFIRMED,"RESOLVED via DIST01=16, distinct from DIST01=15 (Anand)",16,2416.0
24,Gujarat,19.0,Vadodara,Gujarat,Vadodara; Chhota Udaipur,2013 district creation (Chhota Udaipur carved from Vadodara),CONFIRMED,"RESOLVED via DIST01=19, distinct from DIST01=20 (Narmada)",19,2419.0
24,Gujarat,20.0,Narmada,Gujarat,Narmada,No change identified since 2001,CONFIRMED,"RESOLVED via DIST01=20, distinct from DIST01=19 (Vadodara)",20,2420.0
24,Gujarat,21.0,Bharuch,Gujarat,Bharuch,No change identified since 2001,CONFIRMED,,21,2421.0
24,Gujarat,22.0,Surat,Gujarat,Surat; Tapi,2007 district creation (Tapi carved from Surat),CONFIRMED,,22,2422.0
25,Daman & Diu,1.0,Diu,Dadra and Nagar Haveli and Daman and Diu,UNRESOLVED -- see anomaly note,,UNRESOLVED,"DATA ANOMALY: DISTID=0 in this state carries labels for BOTH Diu and Daman -- cannot distinguish which household belongs to which without the codebook. Both are now part of the merged UT of Dadra and Nagar Haveli and Daman and Diu (2020 merger) regardless Checked further: DIST01 (which resolved the MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi collisions) is also uncoded (=0) here -- genuine data gap, not resolvable from this file.",0,2501.0
26,Dadra+Nagar Haveli,1.0,Dadra & Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,2020 merger -- Dadra & Nagar Haveli and Daman & Diu were merged into a single UT,CONFIRMED,,0,2601.0
27,Maharashtra,1.0,Nandurbar,Maharashtra,Nandurbar,No change identified since 2001,CONFIRMED,,1,2701.0
27,Maharashtra,2.0,Dhule,Maharashtra,Dhule,No change identified since 2001,CONFIRMED,,2,2702.0
27,Maharashtra,3.0,Jalgaon,Maharashtra,Jalgaon,No change identified since 2001,CONFIRMED,,3,2703.0
27,Maharashtra,5.0,Akola,Maharashtra,Akola,No change identified since 2001,CONFIRMED,,5,2705.0
27,Maharashtra,6.0,Washim,Maharashtra,Washim,No change identified since 2001 (already split from Akola pre-2001),CONFIRMED,,6,2706.0
27,Maharashtra,7.0,Amarawti,Maharashtra,Amravati,No change identified since 2001,CONFIRMED,,7,2707.0
27,Maharashtra,8.0,Wardha,Maharashtra,Wardha,No change identified since 2001,CONFIRMED,,8,2708.0
27,Maharashtra,9.0,Nagpur,Maharashtra,Nagpur,No change identified since 2001,CONFIRMED,,9,2709.0
27,Maharashtra,10.0,Bhandara,Maharashtra,Bhandara,No change identified since 2001,CONFIRMED,,10,2710.0
27,Maharashtra,11.0,Gondiya,Maharashtra,Gondia,No change identified since 2001 (already split from Bhandara pre-2001),CONFIRMED,,11,2711.0
27,Maharashtra,13.0,Chandrapur,Maharashtra,Chandrapur,No change identified since 2001,CONFIRMED,,13,2713.0
27,Maharashtra,14.0,Yavatmal,Maharashtra,Yavatmal,No change identified since 2001,CONFIRMED,,14,2714.0
27,Maharashtra,15.0,Nanded,Maharashtra,Nanded,No change identified since 2001,CONFIRMED,,15,2715.0
27,Maharashtra,16.0,Hingoli,Maharashtra,Hingoli,No change identified since 2001 (already split from Parbhani pre-2001),CONFIRMED,,16,2716.0
27,Maharashtra,17.0,Parbhani,Maharashtra,Parbhani,No change identified since 2001,CONFIRMED,,17,2717.0
27,Maharashtra,18.0,Jalna,Maharashtra,Jalna,No change identified since 2001,CONFIRMED,,18,2718.0
27,Maharashtra,20.0,Nasik,Maharashtra,Nashik,No change identified since 2001,CONFIRMED,,20,2720.0
27,Maharashtra,21.0,Thane,Maharashtra,Thane; Palghar,2014 district creation (Palghar carved from Thane),CONFIRMED,,21,2721.0
27,Maharashtra,22.0,Mumbai Suburban,Maharashtra,Mumbai Suburban,"Mumbai Suburban appears as its own DIST01 code only from IHDS-II onward -- 0 households in IHDS-I, 319 in IHDS-II",CONFIRMED,"Resolves the open question already flagged in this crosswalk's own dist01=23 (Mumbai) row. Confirmed via IHDS-II's own DISTRICT value label (code 2722 = ""Mumbai (suburban)"" per the IHDS-II .dta metadata) -- a primary source, not inference. IHDS-I's single ""Mumbai"" code (23) appears to have covered both Mumbai City and Mumbai Suburban jointly; IHDS-II split them. Anyone doing IHDS-I-only analysis should treat dist01=23 as covering both; anyone using IHDS-II should use 22 and 23 separately.",22,2722.0
27,Maharashtra,23.0,Mumbai,Maharashtra,Mumbai City,"No change identified since 2001 -- verify whether this DISTID captures Mumbai City only or also Mumbai Suburban, since the two are separate districts administratively",CONFIRMED,"Covers Mumbai City. Mumbai Suburban (dist01=22) is a separate row, added after confirming via IHDS-II's own DISTRICT value label that it only appears as its own code from IHDS-II onward. IHDS-I-only analyses should treat this row (23) as covering both Mumbai City and Mumbai Suburban.",23,2723.0
27,Maharashtra,25.0,Pune,Maharashtra,Pune,No change identified since 2001,CONFIRMED,,25,2725.0
27,Maharashtra,26.0,Ahmadnagar,Maharashtra,Ahilyanagar,Renamed from Ahmednagar to Ahilyanagar in 2023; boundary unchanged,CONFIRMED,,26,2726.0
27,Maharashtra,27.0,Bid,Maharashtra,Beed,No change identified since 2001,CONFIRMED,,27,2727.0
27,Maharashtra,29.0,Osmanabad,Maharashtra,Dharashiv,Renamed from Osmanabad to Dharashiv in 2023; boundary unchanged,CONFIRMED,,29,2729.0
27,Maharashtra,30.0,Solapur,Maharashtra,Solapur,No change identified since 2001,CONFIRMED,,30,2730.0
27,Maharashtra,31.0,Satara,Maharashtra,Satara,No change identified since 2001,CONFIRMED,,31,2731.0
27,Maharashtra,32.0,Ratnagiri,Maharashtra,Ratnagiri,No change identified since 2001,CONFIRMED,,32,2732.0
27,Maharashtra,34.0,Kolhapur,Maharashtra,Kolhapur,No change identified since 2001,CONFIRMED,,34,2734.0
28,Andhra Pradesh,1.0,Adilabad,Telangana,Adilabad; Komaram Bheem Asifabad; Mancherial; Nirmal,2014 state bifurcation; 2016 district reorganization,CONFIRMED,Verified via Wikipedia List of districts of Telangana + district-level sources,1,2801.0
28,Andhra Pradesh,2.0,Nizamabad,Telangana,Nizamabad; Kamareddy,2014 state bifurcation; 2016 district reorganization,CONFIRMED,,2,2802.0
28,Andhra Pradesh,3.0,Karimnagar,Telangana,Karimnagar; Peddapalli; Jagtial; Rajanna Sircilla,2014 state bifurcation; 2016 district reorganization,PROVISIONAL - needs verification,Mancherial sometimes attributed partly to old Karimnagar as well as old Adilabad in some sources -- verify boundary detail before treating as exhaustive,3,2803.0
28,Andhra Pradesh,4.0,Medak,Telangana,Medak; Sangareddy; Siddipet,2014 state bifurcation; 2016 district reorganization,CONFIRMED,,4,2804.0
28,Andhra Pradesh,5.0,Hyderabad,Telangana,Hyderabad,2014 state bifurcation only,CONFIRMED,Only Telangana district untouched by the 2016 reorganization,5,2805.0
28,Andhra Pradesh,6.0,Rangareddi,Telangana,Rangareddy; Medchal-Malkajgiri; Vikarabad,2014 state bifurcation; 2016 district reorganization,CONFIRMED,,6,2806.0
28,Andhra Pradesh,7.0,Mahbubnagar,Telangana,Mahabubnagar; Jogulamba Gadwal; Wanaparthy; Nagarkurnool; Narayanpet,2014 state bifurcation; 2016 district reorganization; 2019 Narayanpet carve-out,CONFIRMED,,7,2807.0
28,Andhra Pradesh,10.0,Khammam,Telangana,Khammam; Bhadradri Kothagudem,2014 state bifurcation; 2016 district reorganization,CONFIRMED,,10,2810.0
28,Andhra Pradesh,13.0,Visakhapatnam,Andhra Pradesh,Visakhapatnam; Anakapalli; Alluri Sitharama Raju,2022 district reorganization,CONFIRMED,,13,2813.0
28,Andhra Pradesh,14.0,East Godavari,Andhra Pradesh,East Godavari; Kakinada; Konaseema,2022 district reorganization,CONFIRMED,,14,2814.0
28,Andhra Pradesh,15.0,West Godavari,Andhra Pradesh,West Godavari; Eluru,2022 district reorganization,CONFIRMED,,15,2815.0
28,Andhra Pradesh,16.0,Krishna,Andhra Pradesh,Krishna; NTR,2022 district reorganization,CONFIRMED,,16,2816.0
28,Andhra Pradesh,17.0,Guntur,Andhra Pradesh,Guntur; Bapatla; Palnadu,2022 district reorganization,CONFIRMED,,17,2817.0
28,Andhra Pradesh,18.0,Prakasam,Andhra Pradesh,Prakasam,No split identified in 2022 reorganization,PROVISIONAL - needs verification,Not listed as a source district for any of the 13 new 2022 districts -- confirm it was not merely renamed,18,2818.0
28,Andhra Pradesh,19.0,Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,"2022 district reorganization (rename, boundaries largely unchanged)",PROVISIONAL - needs verification,Rename confirmed in sourcing; need to verify whether any territory was also transferred out,19,2819.0
28,Andhra Pradesh,20.0,Cuddapah,Andhra Pradesh,YSR Kadapa; Annamayya,"Renamed to YSR/Kadapa (date needs verification, believed pre-2022); 2022 district reorganization split off Annamayya",PROVISIONAL - needs verification,Rename to YSR district and the Annamayya split both need independent source verification,20,2820.0
28,Andhra Pradesh,21.0,Kurnool,Andhra Pradesh,Kurnool; Nandyal,2022 district reorganization,CONFIRMED,,21,2821.0
28,Andhra Pradesh,22.0,Anantapur,Andhra Pradesh,Anantapur; Sri Satya Sai,2022 district reorganization,CONFIRMED,,22,2822.0
28,Andhra Pradesh,23.0,Chittoor,Andhra Pradesh,Chittoor; Tirupati,2022 district reorganization,CONFIRMED,,23,2823.0
29,Karnataka,1.0,Belgaum,Karnataka,Belagavi,No boundary change identified; spelling standardized to Belagavi. Periodic political proposals to split Belagavi into 2-3 districts remain unimplemented,CONFIRMED,,1,2901.0
29,Karnataka,2.0,Bagalkot,Karnataka,Bagalkote,"No change since 1997 split from Bijapur, which predates both IHDS waves",CONFIRMED,,2,2902.0
29,Karnataka,3.0,Bijapur,Karnataka,Vijayapura,Renamed from Bijapur to Vijayapura; boundary unchanged,CONFIRMED,,3,2903.0
29,Karnataka,5.0,Bidar,Karnataka,Bidar,No change identified since 2001,CONFIRMED,,5,2905.0
29,Karnataka,6.0,Raichur,Karnataka,Raichur,"No change identified since 2001 (Koppal already split off in 1997, pre-dating both IHDS waves)",CONFIRMED,,6,2906.0
29,Karnataka,7.0,Koppal,Karnataka,Koppal,No change identified since 2001,CONFIRMED,,7,2907.0
29,Karnataka,8.0,Gadag,Karnataka,Gadag,No change identified since 2001,CONFIRMED,,8,2908.0
29,Karnataka,9.0,Dharwad,Karnataka,Dharwad,No change identified since 2001 (already trifurcated into Dharwad/Gadag/Haveri in 1997),CONFIRMED,,9,2909.0
29,Karnataka,10.0,Uttar Kannad,Karnataka,Uttara Kannada,No change identified since 2001,CONFIRMED,,10,2910.0
29,Karnataka,11.0,Haveri,Karnataka,Haveri,No change identified since 2001,CONFIRMED,,11,2911.0
29,Karnataka,12.0,Bellary,Karnataka,Ballari; Vijayanagara,2020/2021 district creation (Vijayanagara carved from Ballari),CONFIRMED,,12,2912.0
29,Karnataka,13.0,Chitradurga,Karnataka,Chitradurga,No change identified since 2001,CONFIRMED,,13,2913.0
29,Karnataka,14.0,Davanagere,Karnataka,Davanagere,No change identified since 2001,CONFIRMED,,14,2914.0
29,Karnataka,15.0,Shimoga,Karnataka,Shivamogga,Renamed from Shimoga to Shivamogga; boundary unchanged,CONFIRMED,,15,2915.0
29,Karnataka,16.0,Udupi,Karnataka,Udupi,No change identified since 2001 (already split from Dakshina Kannada in 1997),CONFIRMED,,16,2916.0
29,Karnataka,17.0,Chikmagalur,Karnataka,Chikkamagaluru,Spelling standardized to Chikkamagaluru; boundary unchanged,CONFIRMED,,17,2917.0
29,Karnataka,18.0,Tumkur,Karnataka,Tumakuru,Renamed from Tumkur to Tumakuru; boundary unchanged,CONFIRMED,,18,2918.0
29,Karnataka,19.0,Kolar,Karnataka,Kolar; Chikkaballapur (partial),2007 district creation (Chikkaballapur carved from Kolar),CONFIRMED,,19,2919.0
29,Karnataka,20.0,Bangalore,Karnataka,Bengaluru Urban,Renamed from Bangalore to Bengaluru (2014); boundary unchanged,CONFIRMED,,20,2920.0
29,Karnataka,21.0,Bangalore Rural,Karnataka,Bengaluru Rural; Ramanagara (partial),2007 district creation (Ramanagara carved from Bangalore Rural); Ramanagara itself renamed Bengaluru South in 2024,PROVISIONAL - needs verification,Two layers of change here -- the 2007 split and the 2024 rename of the resulting Ramanagara district -- flag if using data post-2024,21,2921.0
29,Karnataka,22.0,Mandya,Karnataka,Mandya,No change identified since 2001,CONFIRMED,,22,2922.0
29,Karnataka,24.0,Dakshin Kannada,Karnataka,Dakshina Kannada,No change identified since 2001,CONFIRMED,"RESOLVED via DIST01 (Census 2001 district code): both DISTID=24 and DISTID=29 carry DIST01=24, confirming both genuinely are Dakshina Kannada -- not two different districts, just two internal IHDS batch codes for the same district. Safe to merge/treat as one",24,2924.0
29,Karnataka,25.0,Kodagu,Karnataka,Kodagu,No change identified since 2001,CONFIRMED,,25,2925.0
29,Karnataka,26.0,Mysore,Karnataka,Mysuru,Renamed from Mysore to Mysuru; boundary unchanged,CONFIRMED,,26,2926.0
29,Karnataka,27.0,Chamarajanagar,Karnataka,Chamarajanagara,Spelling standardized; boundary unchanged,CONFIRMED,,27,2927.0
30,Goa,1.0,North Goa,Goa,North Goa,No change identified since 1997,CONFIRMED,,1,3001.0
30,Goa,2.0,South Goa,Goa,South Goa,No change identified since 1997,CONFIRMED,,2,3002.0
32,Kerala,2.0,Kannur,Kerala,Kannur,"No change identified since 1984 (Kerala's last new district, Kasaragod, predates 2001)",CONFIRMED,,2,3202.0
32,Kerala,4.0,Kozhikode,Kerala,Kozhikode,No change identified since 2001,CONFIRMED,,4,3204.0
32,Kerala,5.0,Malappuram,Kerala,Malappuram,No change identified since 2001,CONFIRMED,,5,3205.0
32,Kerala,6.0,Palakkad,Kerala,Palakkad,No change identified since 2001,CONFIRMED,,6,3206.0
32,Kerala,7.0,Thrissur,Kerala,Thrissur,No change identified since 2001,CONFIRMED,,7,3207.0
32,Kerala,8.0,Ernakulam,Kerala,Ernakulam,No change identified since 2001,CONFIRMED,,8,3208.0
32,Kerala,9.0,Idukki,Kerala,Idukki,No change identified since 2001,CONFIRMED,,9,3209.0
32,Kerala,10.0,Kottayam,Kerala,Kottayam,No change identified since 2001,CONFIRMED,,10,3210.0
32,Kerala,11.0,Alappuzha,Kerala,Alappuzha,No change identified since 2001,CONFIRMED,,11,3211.0
32,Kerala,12.0,Pathanamthitta,Kerala,Pathanamthitta,No change identified since 2001,CONFIRMED,,12,3212.0
32,Kerala,13.0,Kollam,Kerala,Kollam,No change identified since 2001,CONFIRMED,,13,3213.0
32,Kerala,14.0,Thiruvananthapuram,Kerala,Thiruvananthapuram,No change identified since 2001,CONFIRMED,,14,3214.0
33,Tamil Nadu,1.0,Thiruvallur,Tamil Nadu,Thiruvallur,"No change identified since 2001 (part of its territory was transferred into an expanded Chennai district in 2018, but Thiruvallur itself persists)",PROVISIONAL - needs verification,"2018 Chennai boundary expansion involved a small transfer -- not a full split, but worth checking if doing fine-grained spatial work",1,3301.0
33,Tamil Nadu,2.0,Chennai,Tamil Nadu,Chennai,2018 boundary expansion (gained taluks from Tiruvallur and Kanchipuram); no reduction,CONFIRMED,,2,3302.0
33,Tamil Nadu,3.0,Kancheepuram,Tamil Nadu,Kanchipuram; Chengalpattu,2019 district creation (Chengalpattu carved from Kancheepuram),CONFIRMED,,3,3303.0
33,Tamil Nadu,4.0,Vellore,Tamil Nadu,Vellore; Ranipet; Tirupattur,2019 district creation (both Ranipet and Tirupattur carved from Vellore),CONFIRMED,,4,3304.0
33,Tamil Nadu,5.0,Dharampuri,Tamil Nadu,Dharmapuri,No change identified since 2001,CONFIRMED,,5,3305.0
33,Tamil Nadu,6.0,Tiruvannamalai,Tamil Nadu,Tiruvannamalai,No change identified since 2001,CONFIRMED,"Genuine omission from the original build, not a source-data gap -- confirmed present in the IHDS-I codebook's official District Codes table (Docrelinfo.pdf) and in both IHDS-I (n=45) and IHDS-II (n=41) household files. Added via validate.py cross-check against the primary-source codebook.",6,3306.0
33,Tamil Nadu,9.0,Namakkal,Tamil Nadu,Namakkal,No change identified since 2001,CONFIRMED,,9,3309.0
33,Tamil Nadu,10.0,Erode,Tamil Nadu,Erode; part of Tiruppur (2009),2009 district creation (Tiruppur carved from Coimbatore and Erode),CONFIRMED,,10,3310.0
33,Tamil Nadu,12.0,Coimbatore,Tamil Nadu,Coimbatore; part of Tiruppur (2009),2009 district creation (Tiruppur carved from Coimbatore and Erode),CONFIRMED,,12,3312.0
33,Tamil Nadu,13.0,Dindigul,Tamil Nadu,Dindigul,No change identified since 2001,CONFIRMED,,13,3313.0
33,Tamil Nadu,14.0,Karur,Tamil Nadu,Karur,No change identified since 2001,CONFIRMED,"RESOLVED via DIST01 (Census 2001 code)=14, distinct from DIST01=15 (Tiruchchirappalli) and DIST01=17 (Ariyalur), which previously shared this row's messy DISTID=15 batch code",14,3314.0
33,Tamil Nadu,15.0,Tiruchchirappalli,Tamil Nadu,Tiruchirappalli,"No change identified since 2001 (contributed territory to Ariyalur in 2007, alongside Perambalur)",CONFIRMED,RESOLVED via DIST01=15,15,3315.0
33,Tamil Nadu,16.0,Perambalur,Tamil Nadu,Perambalur,No change identified since 2001,CONFIRMED,,16,3316.0
33,Tamil Nadu,17.0,Ariyalur,Tamil Nadu,Ariyalur,"2007 district creation (Ariyalur, from Perambalur and Tiruchirappalli)",CONFIRMED,RESOLVED via DIST01=17,17,3317.0
33,Tamil Nadu,23.0,Sivaganga,Tamil Nadu,Sivaganga,No change identified since 2001,CONFIRMED,,23,3323.0
33,Tamil Nadu,24.0,Madurai,Tamil Nadu,Madurai,No change identified since 2001,CONFIRMED,,24,3324.0
33,Tamil Nadu,25.0,Theni,Tamil Nadu,Theni,No change identified since 2001,CONFIRMED,,25,3325.0
33,Tamil Nadu,27.0,Ramanathapuram,Tamil Nadu,Ramanathapuram,No change identified since 2001,CONFIRMED,,27,3327.0
33,Tamil Nadu,28.0,Thoothukkudi,Tamil Nadu,Thoothukudi,No change identified since 2001,CONFIRMED,,28,3328.0
33,Tamil Nadu,29.0,Tirunelveli,Tamil Nadu,Tirunelveli; Tenkasi,2019 district creation (Tenkasi carved from Tirunelveli),CONFIRMED,,29,3329.0
33,Tamil Nadu,30.0,Kanniyakumari,Tamil Nadu,Kanniyakumari (Kanyakumari),No change identified since 2001,CONFIRMED,,30,3330.0
